ev_id,Aircraft_Key,crew_no,crew_category,crew_age,crew_sex,crew_city,crew_res_state,crew_res_country,med_certf,med_crtf_vldty,date_lst_med,crew_rat_endorse,crew_inj_level,seatbelts_used,shldr_harn_used,crew_tox_perf,seat_occ_pic,pc_profession,bfr,bfr_date,ft_as_of,lchg_date,lchg_userid,seat_occ_row,infl_rest_inst,infl_rest_depl,child_restraint,med_crtf_limit,mr_faa_med_certf,pilot_flying,available_restraint,restraint_used
20080107X00026,1,1,PLT,56,M,Novato,CA,USA,CL3,WWL,11/1/07,,NONE,,,N,LEFT,No,,7/1/07,,9/25/20,,,,,,,,FALSE,,
20080107X00026,2,1,PLT,70,M,Pioneer,CA,USA,CL3,WWL,12/1/06,,NONE,,,N,LEFT,No,,7/1/07,,9/25/20,,,,,,,,FALSE,,
20080107X00027,1,1,PLT,59,M,Conroe,TX,USA,CL2,,6/1/07,,NONE,,,N,LEFT,UNK,,2/1/07,,9/25/20,,,,,,,,FALSE,,
20080109X00036,1,1,PLT,54,F,Gonzales,TX,USA,CL3,WWL,9/1/06,,NONE,,,N,LEFT,No,,11/1/06,,9/25/20,,,,,,,,FALSE,,
20080114X00044,1,1,FLTI,30,M,Miami,FL,USA,CL2,WWL,4/1/07,,NONE,,,N,RGT,Yes,,4/1/07,,9/25/20,,,,,,,,FALSE,,
20080114X00044,1,2,DSTU,49,M,Miami,FL,USA,CL1,WWL,8/1/06,,NONE,,,N,LEFT,No,,,,9/25/20,,,,,,,,FALSE,,
20080115X00046,1,1,PLT,66,M,Stevensville,MD,USA,SPRT,NONE,3/1/03,,NONE,,,N,LEFT,No,,6/1/07,,9/25/20,,,,,,,,FALSE,,
20080115X00047,1,1,PLT,57,M,Williamsburg,VA,USA,CL3,WOWL,12/1/07,,MINR,,,N,LEFT,No,,8/1/06,,9/25/20,,,,,,,,FALSE,,
20080115X00051,1,1,DSTU,36,M,Loveland,CO,USA,CL3,WOWL,12/1/07,,NONE,,,N,LEFT,No,,,,9/25/20,,,,,,,,FALSE,,
20080115X00052,1,1,PLT,77,M,Kimball,NE,USA,CL3,WWL,4/1/06,,NONE,,,N,LEFT,No,,,,9/25/20,,,,,,,,FALSE,,
20080116X00062,1,1,PLT,67,M,Mansfield,OH,USA,CL3,WWL,8/1/06,,FATL,,,Y,RGT,No,,12/1/07,,9/25/20,grol,,,,,,,FALSE,,
20080116X00063,1,1,PLT,50,M,Kodiak,AK,USA,CL1,WOWL,8/7/07,,FATL,,,Y,LEFT,Yes,,9/1/07,,9/25/20,,,,,,,,FALSE,,
20080117X00067,1,1,PLT,38,M,Honolulu,HI,USA,CL1,WOWL,1/1/08,,FATL,,,N,LEFT,Yes,,10/1/07,,9/25/20,,,,,,,,FALSE,,
20080117X00068,1,1,PLT,68,M,Hunington Beach,CA,USA,CL3,WWL,3/1/07,,FATL,,,Y,LEFT,No,,5/1/07,,9/25/20,,,,,,,,FALSE,,
20080117X00069,1,1,PLT,63,M,Portland,OR,USA,CL3,WWL,7/1/06,,MINR,,,N,FRT,No,,3/1/07,,9/25/20,,,,,,,,FALSE,,
20080118X00073,1,1,PLT,39,M,Brooklyn,NY,USA,CL1,WOWL,9/1/07,,NONE,,,N,LEFT,Yes,,11/1/07,,9/25/20,,,,,,,,FALSE,,
20080118X00073,1,2,CPLT,36,M,Nichols,IA,USA,CL1,WOWL,7/1/07,,NONE,,,N,RGT,Yes,,3/1/07,,9/25/20,,,,,,,,FALSE,,
20080118X00073,2,1,OTHR,55,M,San Bruno,CA,USA,NONE,,,,NONE,,,N,LEFT,No,,,,9/25/20,,,,,,,,FALSE,,
20080118X00074,1,1,PLT,40,M,Bethel,AK,USA,CL1,WWL,12/1/07,,NONE,,,N,LEFT,Yes,,9/1/07,,9/25/20,,,,,,,,FALSE,,
20080118X00075,1,1,PLT,58,M,Aniak,AK,USA,CL2,WWL,7/1/07,,SERS,,,N,LEFT,Yes,,3/1/07,,9/25/20,,,,,,,,FALSE,,
20080118X00079,1,1,PLT,,,,,,,,,,FATL,,,N,,,,,,9/25/20,,,,,,,,FALSE,,
20080122X00082,1,1,PLT,63,M,Mayer,MN,USA,CL3,WOWL,5/1/07,,SERS,,,N,FRT,No,,3/1/08,,9/25/20,,,,,,,,FALSE,,
20080122X00084,1,1,PLT,,,,,,,,,,FATL,,,N,,,,,,9/25/20,,,,,,,,FALSE,,
20080122X00084,1,2,FLTI,,,,,,,,,,FATL,,,N,,,,,,9/25/20,,,,,,,,FALSE,,
20080122X00085,1,1,PLT,68,M,Ravenna,OH,USA,CL2,WWL,10/4/06,,FATL,,,Y,LEFT,Yes,,4/13/07,,9/25/20,,,,,,,,FALSE,,
20080122X00086,1,1,PLT,,,,,,,,,,FATL,,,N,,,,,,9/25/20,,,,,,,,FALSE,,
20080122X00087,1,1,PLT,46,M,New Smyrna Beac,FL,USA,CL1,WWL,2/27/07,,NONE,,,N,RGT,Yes,,3/25/07,,9/25/20,,,,,,,,FALSE,,
20080122X00088,1,1,PLT,,M,Carrollton,TX,USA,CL1,UNK,10/1/07,,NONE,,,N,LEFT,Yes,,,,9/25/20,,,,,,,,FALSE,,
20080122X00088,1,2,CPLT,,M,,,,CL1,UNK,,,NONE,,,N,RGT,Yes,,,,9/25/20,,,,,,,,FALSE,,
20080123X00090,1,1,PLT,31,M,Palatka,FL,USA,CL3,WOWL,9/1/05,,FATL,,,Y,LEFT,No,,8/1/06,,9/25/20,,,,,,,,FALSE,,
20080123X00091,1,1,PLT,46,M,New York,NY,USA,CL2,WWL,3/1/06,,NONE,,,N,LEFT,No,,12/1/06,,9/25/20,,,,,,,,FALSE,,
20080123X00096,1,1,PLT,42,M,Clarksville,MD,USA,CL3,WWL,7/25/07,,MINR,,,N,LEFT,No,,6/24/06,,9/25/20,,,,,,,,FALSE,,
20080123X00098,1,1,PLT,78,M,Sanger,CA,USA,CL3,WOWL,4/1/07,,FATL,,,Y,LEFT,No,,4/1/06,,9/25/20,,,,,,,,FALSE,,
20080125X00103,1,1,PLT,52,M,Brentwood,TN,USA,CL1,WWL,9/1/07,,NONE,,,N,LEFT,Yes,,7/1/06,,9/25/20,,,,,,,,FALSE,,
20080125X00103,1,2,CPLT,46,M,Ferrisburg,,USA,CL1,WOWL,3/1/07,,NONE,,,N,REAR,Yes,,4/1/07,,9/25/20,,,,,,,,FALSE,,
20080125X00104,1,1,PLT,,,,,,,,,,FATL,,,N,,,,,,9/25/20,,,,,,,,FALSE,,
20080128X00108,1,1,PLT,63,M,Toronto,,CA,CL1,WOWL,4/1/07,,FATL,,,Y,LEFT,No,,7/1/07,,9/25/20,,,,,,,,FALSE,,
20080128X00108,1,2,,,M,,,,NONE,NONE,,,,,,Y,,,,,,9/25/20,,,,,,,,FALSE,,
20080128X00111,1,1,PLT,65,M,San Antonio,TX,USA,CL3,WWL,10/2/07,,FATL,,,Y,UNK,No,,8/29/07,1/6/08,9/25/20,,,,,,,,FALSE,,
20080129X00115,1,1,PLT,67,M,Bentley,KS,USA,CL3,WWL,11/1/07,,SERS,,,N,SNGL,No,,6/1/07,,9/25/20,,,,,,,,FALSE,,
20080129X00116,1,1,PLT,70,M,Green River,WY,USA,SPRT,WWL,11/1/05,,NONE,,,N,FRT,No,,11/1/06,,9/25/20,,,,,,,,FALSE,,
20080129X00117,1,1,FLTI,65,M,Frazeysburg,OH,USA,CL3,WWL,6/1/06,,NONE,,,N,,,,,,9/25/20,,,,,,,,FALSE,,
20080129X00117,1,2,DSTU,37,M,Xenia,OH,USA,SPRT,,,,NONE,,,N,,No,,,,9/25/20,,,,,,,,FALSE,,
20080129X00119,1,1,PLT,31,M,Detroit,MI,USA,CL1,WWL,11/19/07,,FATL,,,Y,LEFT,Yes,,11/29/07,1/16/08,9/25/20,,,,,,,,FALSE,,
20080130X00124,1,1,PLT,73,M,La Verne,CA,USA,CL3,WWL,1/12/07,,FATL,,,Y,LEFT,No,,12/20/07,12/20/07,9/25/20,,,,,,,,FALSE,,
20080130X00124,2,1,PLT,24,M,Cerritos,CA,USA,CL1,WOWL,11/1/07,,FATL,,,Y,LEFT,No,,1/20/08,1/20/08,9/25/20,,,,,,,,FALSE,,
